Timestamp,Sequence,Elapsed_Seconds,CH101_Voltage_V,CH101_Temperature_C,CH102_Voltage_V,CH102_Temperature_C,CH103_Voltage_V,CH103_Temperature_C,CH104_Voltage_V,CH104_Temperature_C,CH105_Voltage_V,CH105_Temperature_C
2026-08-26 15:08:30.355,1,0.274,-0.0002915106,-0.029151060000000003,-8.437582e-05,-0.008437581999999999,-8.413002e-05,-0.016826004,-0.02134078,-2.134078,-8.065178e-05,-0.008065178
2026-08-26 15:08:31.281,2,1.199,-0.01367951,-1.3679510000000001,-8.452281e-05,-0.008452281,-8.396204e-05,-0.016792407999999998,-0.01789985,-1.789985,-8.045415e-05,-0.008045415
2026-08-26 15:08:32.290,3,2.208,-0.01001789,-1.001789,-8.445915e-05,-0.008445915,-8.387367e-05,-0.016774734,-0.01932536,-1.932536,-8.024968e-05,-0.008024968
2026-08-26 15:08:33.280,4,3.199,-0.01326869,-1.3268689999999999,-8.428993e-05,-0.008428993000000001,-8.402313e-05,-0.016804626,-0.02201341,-2.201341,-8.047448e-05,-0.008047447999999999
2026-08-26 15:08:34.278,5,4.197,-0.01336809,-1.336809,-8.442617e-05,-0.008442617000000001,-8.395681e-05,-0.016791362,-0.01872039,-1.872039,-8.040939e-05,-0.008040939
2026-08-26 15:08:35.282,6,5.201,-0.01473311,-1.473311,-8.436578e-05,-0.008436578,-8.376796e-05,-0.016753592,-0.01748763,-1.748763,-8.019584e-05,-0.008019584
2026-08-26 15:08:36.282,7,6.2,-0.01171821,-1.171821,-8.438431e-05,-0.008438431,-8.403476e-05,-0.016806952,-0.01854501,-1.854501,-8.033665e-05,-0.008033665
2026-08-26 15:08:37.286,8,7.205,-0.006796936,-0.6796936,-8.44162e-05,-0.00844162,-8.371462e-05,-0.016742924,-0.0178493,-1.78493,-8.03463e-05,-0.00803463
2026-08-26 15:08:38.289,9,8.208,-0.008346641,-0.8346641,-8.438021e-05,-0.008438021,-8.391949e-05,-0.016783898,-0.01863905,-1.8639050000000001,-8.019545e-05,-0.008019545000000001
2026-08-26 15:08:39.282,10,9.2,-0.009192231,-0.9192231000000001,-8.42814e-05,-0.00842814,-8.390838e-05,-0.016781676,-0.02008287,-2.0082869999999997,-8.022632e-05,-0.008022632
2026-08-26 15:08:40.287,11,10.205,-0.008307217,-0.8307217,-8.423979e-05,-0.008423979,-8.402116e-05,-0.016804232,-0.01931264,-1.9312639999999999,-8.03984e-05,-0.00803984
2026-08-26 15:08:41.281,12,11.199,-0.0123556,-1.23556,-8.436454e-05,-0.008436454000000001,-8.379389e-05,-0.016758778,-0.01844197,-1.8441969999999999,-8.019953e-05,-0.008019953
2026-08-26 15:08:42.278,13,12.196,-0.01506331,-1.506331,-8.437473e-05,-0.008437473,-8.389055e-05,-0.01677811,-0.02033122,-2.033122,-8.045182e-05,-0.008045182
2026-08-26 15:08:43.279,14,13.197,-0.01330585,-1.330585,-8.429965e-05,-0.008429965000000001,-8.407855e-05,-0.01681571,-0.02181908,-2.181908,-8.027668e-05,-0.008027668
2026-08-26 15:08:44.281,15,14.199,-0.01168365,-1.168365,-8.424406e-05,-0.008424406,-8.382163e-05,-0.016764326,-0.0227367,-2.27367,-8.025692e-05,-0.008025692
2026-08-26 15:08:45.282,16,15.2,-0.01040321,-1.040321,-8.423553e-05,-0.008423553,-8.391809e-05,-0.016783618,-0.01587409,-1.587409,-8.051765e-05,-0.008051765
2026-08-26 15:08:46.276,17,16.195,-0.01097297,-1.097297,-8.429085e-05,-0.008429085,-8.3903e-05,-0.0167806,-0.01991032,-1.991032,-8.024318e-05,-0.008024317999999999
2026-08-26 15:08:47.278,18,17.197,-0.01268099,-1.2680989999999999,-8.42822e-05,-0.00842822,-8.385977e-05,-0.016771954,-0.0212379,-2.12379,-8.045563e-05,-0.008045563
2026-08-26 15:08:48.276,19,18.194,-0.01054335,-1.054335,-8.447611e-05,-0.008447611,-8.395116e-05,-0.016790232,-0.02095764,-2.095764,-8.05112e-05,-0.00805112
2026-08-26 15:08:49.293,20,19.211,-0.01035512,-1.035512,-8.443323e-05,-0.008443322999999999,-8.394657e-05,-0.016789314,-0.02073985,-2.073985,-8.01373e-05,-0.00801373
2026-08-26 15:08:50.285,21,20.203,-0.01334693,-1.334693,-8.434059e-05,-0.008434058999999999,-8.385023e-05,-0.016770046,-0.01888064,-1.888064,-8.04708e-05,-0.00804708
2026-08-26 15:08:51.285,22,21.203,-0.0127374,-1.2737399999999999,-8.440401e-05,-0.008440401,-8.379631e-05,-0.016759262,-0.01898716,-1.8987159999999998,-8.024271e-05,-0.008024271000000001
